"If @apple are putting their own chips into their macs in 2021!! All macs should be $300+ cheaper!! 

Don’t jack the… https://t.co/KG6RXBaY4d",
RT @briceduncanart: Best image to video/slideshow iOS app?  Effects and features too #go #art #artiosapp #iOSAppStore #images #videoproduct…,
My twitter is crashing suddenly and I think it’s becoz of the new character crash bug!didn’t know it worked even th… https://t.co/2Bpmn9VQ22,
RT @hurontrader: @tim_cook My Iphone is not functioning.  I am unable to buy new phone unless @Apple sends me a text.  I called @ATT and se…,
Apple is working on a processor for Macs based on their A14 chipset. So expect the new Macs to come with apple's ow… https://t.co/lwCO7pwtlC,
"I have heared @Apple is working on new feature called Face Mask ID. Don’t tell anyone!

#apple #iphone12 #FaceID #facemask #COVID19",
"Hey @Apple! 
Today i seen new #iPhoneSE after that I feels it will be great &amp; affordable #iPhone in India but As an… https://t.co/Hl4rR2R9P8",
"27 days ago i asked #Apple to delete MY data, they refuse. #GDPR #Apple 
@tim_cook

@Apple

 where must i put the ransom? #kidnapped",
".@Apple @AppleSupport you guys should recall the #MacBook pro 15"" 2019 which has shitty keyboard or fix the issue p… https://t.co/XbiI0mYkeI",
Really @Apple? You are shipping the new iPhone SE from #China amid all the scare about #CoronaVirus #CoVID19? I rea… https://t.co/K4TPhj5jKO,
When your right airpod pro stops working and your left one’s confused and keeps disturbing the music I AM ON MY HIK… https://t.co/2cq6s396a2,
"It’s 2020 and the iPad still doesn’t have a built-in Calculator app. Why @Apple ???

Not even the Pro ones?!?!… https://t.co/rcGON2gle3",
"RT @Fascinator_: @UnboxTherapy Will they put the latest OS updates every year for the next 5-6 years?
Providing the latest OS is a huge cos…",
One of the ideas that I didn’t understood. @Apple Why do you not make the @AppleMusic available on Alexa devices in… https://t.co/wb8T8GTNsK,
Best image to video/slideshow iOS app?  Effects and features too #go #art #artiosapp #iOSAppStore #images… https://t.co/4fF7KhzqXE,
